Player,Rk,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Player-additional
Connor Wong,1,28,C,1.5,126,487,447,54,125,24,1,13,52,8,7,28,114,0.28,0.333,0.425,0.758,113.0,0.327,107.0,190,7,9,1,2,1,23DH/47,,wongco01
Dominic Smith*,2,29,1B,0.0,84,278,249,29,59,20,0,6,34,1,1,25,65,0.237,0.317,0.39,0.706,99.0,0.314,96.0,97,7,4,0,0,0,3H/D1,,smithdo02
Enmanuel Valdéz*,3,25,2B,-0.6,76,223,201,23,43,12,0,6,28,1,1,17,53,0.214,0.27,0.363,0.633,77.0,0.277,70.0,73,4,0,1,4,0,4H/D57,,valdeen01
Ceddanne Rafaela,4,23,SS,2.8,152,571,544,70,134,23,5,15,75,19,10,15,151,0.246,0.274,0.39,0.664,85.0,0.299,85.0,212,8,7,2,3,1,864/5H9,,rafaece01
Rafael Devers*,5,27,3B,3.7,138,601,525,87,143,34,5,28,83,3,0,67,147,0.272,0.354,0.516,0.871,142.0,0.368,134.0,271,13,3,0,6,14,*5/D,ASMVP-13,deverra01
Tyler O'Neill,6,29,LF,2.6,113,473,411,74,99,18,0,31,61,4,0,53,159,0.241,0.336,0.511,0.847,135.0,0.365,131.0,210,13,7,0,2,5,79D/H,,oneilty01
Jarren Duran*,7,27,CF,8.7,160,735,671,111,191,48,14,21,75,34,7,54,160,0.285,0.342,0.492,0.834,132.0,0.373,134.0,330,6,6,1,3,1,*87,ASMVP-8,duranja01
Wilyer Abreu*,8,25,RF,3.4,132,447,399,59,101,33,2,15,58,8,3,40,125,0.253,0.322,0.459,0.781,118.0,0.339,112.0,183,7,3,0,5,0,*9H/78D,ROY-6GG,abreuwi02
Masataka Yoshida*,9,30,DH,1.4,108,421,378,45,106,21,0,10,56,2,0,27,52,0.28,0.349,0.415,0.765,116.0,0.341,114.0,157,6,14,0,2,0,DH/7,,yoshima02
David Hamilton*,10,26,MI,2.6,98,317,294,47,73,17,1,8,28,33,4,22,80,0.248,0.303,0.395,0.697,96.0,0.331,95.0,116,1,1,0,0,0,64H,,hamilda03
Rob Refsnyder,11,33,OF,0.8,93,307,272,32,77,16,1,11,40,2,2,28,78,0.283,0.359,0.471,0.83,133.0,0.354,126.0,128,6,5,0,1,2,79HD,,refsnro01
Triston Casas*,12,24,1B,0.6,63,243,212,28,51,8,0,13,32,0,1,30,77,0.241,0.337,0.462,0.8,124.0,0.34,116.0,98,6,1,0,0,4,3/HD,,casastr01
Romy González,13,27,IF,0.9,89,216,199,25,53,10,1,6,29,11,3,12,58,0.266,0.306,0.417,0.723,102.0,0.326,100.0,83,5,1,0,4,0,H4635/97D8,,gonzaro01
